scan_utc,volcano,wwlln_id,inner_strokes,outer_strokes,alert,n_stroke_positions
2026-04-24T05:58:34.273103+00:00,Quetrupillan,1507-121,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Lanin,1507-122,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Mocho-Choshuenco,1507-13-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Carran - Los Venados,1507-14-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Puyehue - Cordon Caulle,1507-15-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Antillanca - Casablanca,1507-153,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Osorno,1508-01-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Calbuco,1508-02-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Yate,1508-022,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Hornopiren,1508-023,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Huequi,1508-03-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Michinmahuida,1508-04-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Chaiten,1508-041,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Corcovado,1508-05-,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Melimoyu,1508-052,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Mentolat,1508-054,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Cay,1508-055,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Maca,1508-056,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Hudson,1508-057,0,0,GREEN,0
2026-04-24T05:58:34.273103+00:00,Acatenango,1402-09-,0,3,GREEN,3
2026-04-24T05:58:34.273103+00:00,Fuego,1402-10-,0,3,GREEN,3
2026-04-24T05:58:34.273103+00:00,Agua,1402-111,0,9,GREEN,9
2026-04-24T08:17:22.388793+00:00,Taapaca,1505-011,0,0,GREEN,0
2026-04-24T08:17:22.388793+00:00,Parinacota,1505-012,0,0,GREEN,0
